,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
125,2020,9,7,401.7,0.87,19.06,89.77,0.0,36.53,23.19,13.52,0.3,29.11,26.12,4.58,1.74,0.97,2.69,0.87,1.73,13.34,0.13,0.0
126,2020,9,9,345.8,14.73,79.1,14.33,1.77,0.19,8.23,3.24,15.06,0.7,0.89,2.3,0.73,22.55,3.98,0.43,13.3,5.02,0.0,0.17
127,2020,9,16,336.02,26.68,92.68,13.95,3.85,0.49,20.4,3.66,20.5,2.7,3.19,2.28,0.68,34.36,4.34,1.45,24.42,7.54,0.0,0.21
128,2020,9,8,354.03,23.46,91.39,13.86,2.75,0.0,17.12,2.73,14.88,0.68,0.68,2.48,0.84,30.98,3.58,0.05,22.87,7.62,0.0,0.16
129,2020,9,8,334.04,21.15,89.44,13.7,2.69,0.01,15.5,2.41,16.44,0.36,0.37,2.77,1.38,29.2,3.79,0.05,20.51,6.65,0.0,0.12
130,2020,9,9,325.32,0.71,13.19,92.9,0.05,31.91,15.87,7.45,0.23,22.48,20.47,2.08,1.77,0.13,2.93,0.76,2.8,16.04,0.09,0.0
131,2020,8,18,379.3,3.31,29.06,98.4,1.41,40.51,25.0,31.09,3.05,31.56,32.9,8.18,4.41,2.47,6.79,4.73,4.32,15.51,0.16,0.0
132,2020,9,6,1.87,20.73,0.8,1.23,1.1,1.4,0.7,5.07,353.3,13.99,22.47,0.48,24.7,0.4,29.94,9.21,78.8,22.94,0.0,0.2
133,2020,9,23,336.32,0.26,58.94,90.1,0.0,24.54,11.59,17.95,0.08,16.47,15.95,7.14,1.92,0.54,3.54,0.26,3.01,12.95,0.14,0.04
134,2020,9,18,4.43,1.63,42.94,8.64,2.84,21.48,0.02,0.99,0.24,2.86,330.95,89.39,23.09,7.51,20.65,17.4,4.67,26.05,0.0,0.17
135,2020,7,24,3.42,13.25,1.11,2.15,2.1,2.52,1.5,6.23,311.7,14.81,23.48,0.91,21.73,0.6,29.9,16.66,85.48,37.56,0.0,0.12
136,2020,8,19,364.38,2.07,16.19,96.49,0.79,35.62,21.01,17.36,1.54,28.69,27.43,3.66,3.05,1.73,4.88,2.85,3.15,14.6,0.11,0.0
137,2020,8,20,357.12,0.97,31.75,96.29,0.41,33.64,17.45,13.5,0.88,24.54,23.62,5.74,1.98,0.88,2.8,1.37,1.91,16.19,0.12,0.0
138,2020,9,15,1.16,1.47,31.94,14.03,0.97,19.75,0.0,0.41,0.93,0.98,325.66,90.35,9.22,4.03,16.45,14.27,2.09,28.31,0.0,0.1
139,2020,9,8,3.79,15.5,0.05,2.77,0.37,2.41,0.36,2.69,334.04,6.65,20.51,1.38,21.15,0.01,29.2,13.7,89.44,16.44,0.0,0.12
140,2020,9,10,341.51,0.95,24.69,93.32,0.04,26.95,17.25,9.28,0.46,20.33,17.01,3.48,1.45,0.21,2.27,0.98,2.06,9.7,0.12,0.0
141,2020,9,12,347.28,16.12,75.39,13.21,2.44,0.34,9.69,2.63,19.31,1.31,1.65,2.01,0.39,22.9,3.02,1.07,12.59,4.35,0.0,0.13
142,2020,9,9,383.92,2.12,11.38,92.93,0.03,31.96,19.08,7.57,1.19,24.19,23.16,2.14,3.16,0.24,6.14,2.16,5.9,12.88,0.13,0.0
143,2020,9,6,1.98,22.61,0.3,1.33,0.58,1.52,0.58,4.03,417.36,18.52,25.44,0.46,28.83,0.0,36.9,14.29,90.23,16.44,0.0,0.15
144,2020,9,8,358.8,2.04,46.62,96.17,0.24,30.12,17.3,13.6,1.52,22.48,21.83,7.81,2.45,0.34,3.68,2.28,3.34,12.82,0.16,0.0
145,2020,9,7,377.09,0.81,29.56,79.4,0.19,27.6,15.01,10.5,0.59,21.32,19.18,4.82,2.7,1.48,4.24,1.0,2.77,12.59,0.2,0.0
