,Longitude,Latitude,Datetime,Fire
279,-118.001,34.41,2020-09-20,1
280,-119.269,37.334,2020-09-07,1
281,-123.303,41.103,2020-09-22,1
282,-123.455,41.066,2020-09-07,1
283,-121.494,37.511,2020-08-19,1
284,-118.569,34.637,2020-08-13,1
285,-121.24,39.812,2020-09-14,1
286,-123.208,40.295,2020-09-14,1
287,-123.194,40.294,2020-09-14,1
288,-122.72,39.811,2020-08-21,1
289,-123.197,40.121,2020-09-08,1
290,-122.696,39.782,2020-09-09,1
291,-120.762,41.032,2020-07-24,1
292,-123.192,40.184,2020-09-08,1
293,-123.251,40.23,2020-09-09,1
294,-123.401,41.14,2020-09-07,1
295,-121.392,39.624,2020-09-09,1
296,-121.467,39.631,2020-09-09,1
297,-120.814,41.092,2020-07-21,1
298,-119.441,37.42,2020-09-13,1
299,-123.434,41.07899999999999,2020-09-07,1
300,-122.681,39.81,2020-08-23,1
301,-123.276,40.26300000000001,2020-09-13,1
302,-122.637,39.681,2020-08-19,1
303,-123.139,40.305,2020-09-27,1
304,-119.257,37.379,2020-09-11,1
305,-121.121,39.734,2020-09-08,1
306,-122.703,40.086,2020-08-20,1
307,-122.624,39.779,2020-08-19,1
308,-123.281,40.27,2020-09-15,1
309,-119.541,38.467,2020-09-02,1
310,-122.564,38.71,2020-08-25,1
311,-118.355,36.172,2020-09-02,1
312,-119.18,37.42,2020-09-14,1
313,-118.048,34.21,2020-09-14,1
314,-116.697,32.74,2020-09-06,1
315,-123.337,41.14100000000001,2020-09-10,1
316,-117.852,34.391,2020-09-19,1
317,-123.279,40.066,2020-09-09,1
318,-120.738,40.363,2020-08-23,1
319,-119.365,37.085,2020-09-07,1
320,-119.244,37.154,2020-09-07,1
321,-122.914,39.859,2020-09-05,1
322,-122.968,39.594,2020-09-10,1
323,-119.644,38.527,2020-09-12,1
324,-121.456,36.02,2020-09-08,1
325,-119.544,38.485,2020-09-05,1
326,-118.721,36.302,2020-09-16,1
327,-117.993,34.175,2020-09-11,1
328,-122.939,40.164,2020-09-08,1
329,-117.897,34.304,2020-09-09,1
330,-117.998,34.236,2020-09-14,1
331,-121.369,37.313,2020-08-20,1
332,-121.153,39.751,2020-09-09,1
333,-119.623,37.854,2020-09-16,1
334,-122.927,39.604,2020-09-05,1
335,-119.32,37.166,2020-09-05,1
336,-119.456,37.331,2020-09-16,1
337,-121.501,37.413,2020-08-19,1
338,-122.825,40.069,2020-09-03,1
339,-121.442,41.714,2020-07-26,1
340,-122.776,39.83,2020-08-30,1
341,-119.133,37.359,2020-09-21,1
342,-122.928,40.006,2020-09-10,1
343,-121.416,41.657,2020-07-24,1
344,-118.021,34.275,2020-09-21,1
345,-118.707,36.292,2020-09-18,1
346,-123.378,40.097,2020-09-09,1
347,-118.572,36.194,2020-09-13,1
348,-123.294,40.171,2020-09-09,1
349,-116.912,34.05,2020-08-04,1
350,-116.992,34.092,2020-09-07,1
351,-118.682,36.254,2020-09-14,1
352,-122.929,40.031,2020-09-13,1
353,-122.923,39.592,2020-09-05,1
354,-122.979,38.59,2020-08-20,1
355,-120.783,40.285,2020-08-22,1
356,-121.221,37.287,2020-08-20,1
357,-122.858,39.718,2020-09-08,1
358,-118.56,36.115,2020-09-16,1
359,-116.699,32.716,2020-09-07,1
360,-119.343,37.389,2020-09-06,1
361,-123.201,40.227,2020-09-09,1
362,-121.391,36.078,2020-09-08,1
363,-121.579,36.547,2020-08-19,1
364,-122.666,39.78,2020-08-20,1
365,-122.893,39.678,2020-09-08,1
366,-121.246,37.286,2020-08-19,1
367,-118.499,36.162,2020-09-07,1
368,-123.438,41.032,2020-09-08,1
369,-121.261,39.556,2020-09-22,1
370,-119.325,37.508,2020-09-17,1
371,-116.806,33.98,2020-08-07,1
372,-121.734,37.469,2020-08-18,1
373,-123.401,41.154,2020-09-05,1
374,-123.156,40.103,2020-09-10,1
375,-119.361,37.028,2020-09-14,1
376,-118.415,36.192,2020-08-24,1
377,-122.952,39.574,2020-09-06,1
378,-117.992,34.452,2020-09-19,1
379,-120.912,39.838,2020-09-17,1
380,-122.857,39.699,2020-09-08,1
381,-122.813,39.659,2020-08-20,1
382,-117.653,36.092,2020-08-21,1
383,-123.439,41.167,2020-08-15,1
384,-122.076,38.412,2020-08-19,1
385,-118.758,36.288,2020-09-21,1
386,-121.39,36.122,2020-09-11,1
387,-123.284,40.101,2020-09-09,1
388,-119.283,37.41,2020-09-08,1
389,-121.583,36.518,2020-08-19,1
390,-119.297,37.064,2020-09-09,1
391,-119.249,37.399,2020-09-11,1
392,-122.792,39.773,2020-08-21,1
393,-123.045,40.048,2020-09-14,1
394,-123.261,40.24800000000001,2020-09-12,1
395,-116.803,34.07,2020-08-02,1
396,-119.203,37.397,2020-09-12,1
397,-121.579,36.442,2020-08-19,1
398,-118.411,36.418,2020-09-21,1
399,-121.513,41.757,2020-07-29,1
400,-119.319,37.036,2020-09-08,1
401,-119.252,37.478,2020-09-14,1
402,-122.823,39.74,2020-09-02,1
403,-119.617,37.838,2020-09-07,1
404,-119.46,37.222,2020-09-10,1
405,-119.41,37.322,2020-09-06,1
406,-118.5,35.435,2020-08-04,1
407,-123.126,40.171,2020-09-06,1
408,-121.626,36.567,2020-08-17,1
409,-119.339,37.451,2020-09-11,1
410,-118.011,34.259,2020-09-20,1
411,-121.481,37.249,2020-08-28,1
412,-123.33,41.122,2020-09-08,1
