,NDVI,EVI,SolarZenith,longitude,latitude,date
201,6944.0,4971.0,5956.0,-120.74694444,37.49194444,2010-01-09
202,7195.0,5736.0,5951.0,-120.875,37.335,2010-01-13
203,7158.0,4794.0,2745.0,-120.31,37.06888888,2010-04-16
204,5409.0,3496.0,2789.0,-120.70888888,37.38305555,2010-05-01
205,4395.0,3327.0,2446.0,-121.02194444,37.29694444,2010-05-02
206,3241.0,2317.0,2416.0,-120.01805555,36.92111111,2010-05-06
207,4129.0,2690.0,2490.0,-120.85111111,37.295,2010-05-06
208,3933.0,2323.0,1823.0,-120.645,36.98111111,2010-05-07
209,6643.0,5044.0,2226.0,-120.445,36.88,2010-05-08
210,5283.0,3762.0,2438.0,-120.79611111,37.39611111,2010-05-08
211,3603.0,2675.0,2427.0,-120.11111111,37.01111111,2010-05-08
212,3789.0,2590.0,2413.0,-119.89388888,36.97111111,2010-05-08
213,4811.0,3242.0,1823.0,-120.645,36.98611111,2010-05-09
214,4811.0,3242.0,1823.0,-120.645,36.985,2010-05-09
215,3556.0,2508.0,2410.0,-119.97694444,36.88,2010-05-10
216,5182.0,3152.0,2081.0,-120.57194444,37.05194444,2010-05-20
217,3127.0,2234.0,2103.0,-120.62194444,37.35194444,2010-05-20
218,4437.0,3419.0,2108.0,-120.73111111,37.32388888,2010-05-22
219,2464.0,1554.0,1941.0,-120.61888888,37.38888888,2010-05-22
220,3663.0,2682.0,2246.0,-120.87611111,37.075,2010-05-23
221,3048.0,2100.0,2088.0,-120.57694444,37.36305555,2010-06-01
222,3930.0,2968.0,2308.0,-120.81305555,37.42888888,2010-06-01
223,2464.0,1554.0,1941.0,-120.61888888,37.38888888,2010-06-02
224,3162.0,2239.0,2054.0,-120.175,37.01805555,2010-06-02
225,3239.0,1877.0,1896.0,-120.84805555,37.1,2010-06-03
226,3125.0,1978.0,1903.0,-120.61888888,37.38888888,2010-06-03
227,2944.0,1892.0,1986.0,-120.57694444,37.36305555,2010-06-04
228,4101.0,2857.0,1815.0,-120.60305555,37.32305555,2010-06-07
229,3227.0,2238.0,1975.0,-120.48388888,37.285,2010-06-09
230,3739.0,2441.0,1911.0,-120.74805555,37.40388888,2010-06-09
231,2799.0,1804.0,1965.0,-120.43694444,37.185,2010-06-09
232,2476.0,1612.0,2036.0,-120.07388888,36.98,2010-06-09
233,3574.0,2351.0,1928.0,-120.05611111,36.97111111,2010-06-10
234,2456.0,1826.0,2072.0,-120.63888888,36.98694444,2010-06-10
235,2927.0,1928.0,2000.0,-121.045,37.165,2010-06-10
236,5764.0,4140.0,1985.0,-120.41,37.50305555,2010-06-11
237,7119.0,6370.0,4339.0,-120.895,37.42694444,2010-03-08
238,6866.0,4512.0,4179.0,-120.645,36.96694444,2010-03-11
239,8060.0,6950.0,4294.0,-120.49194444,37.11305555,2010-03-14
240,6341.0,3732.0,3567.0,-120.31111111,37.08388888,2010-03-15
241,5306.0,3404.0,3908.0,-120.63194444,37.39694444,2010-03-25
242,4507.0,3250.0,3976.0,-120.58305555,37.31305555,2010-03-29
243,3886.0,2340.0,2984.0,-120.31305555,37.17111111,2010-04-05
244,8230.0,7026.0,3299.0,-120.38305555,37.185,2010-04-09
245,6207.0,3787.0,3313.0,-120.43694444,37.31805555,2010-04-09
246,4052.0,2950.0,2421.0,-120.02888888,36.98888888,2010-05-13
247,3633.0,2658.0,2421.0,-120.06,36.975,2010-05-13
248,3638.0,2376.0,2364.0,-120.06805555,36.96888888,2010-05-13
249,4811.0,3242.0,1823.0,-120.645,36.98611111,2010-05-13
250,3638.0,2376.0,2364.0,-120.06805555,36.96805555,2010-05-16
251,3095.0,2107.0,2364.0,-120.07194444,36.97694444,2010-05-16
252,2949.0,1691.0,2352.0,-120.95388888,37.05694444,2010-05-16
253,3743.0,2514.0,2093.0,-120.62194444,37.38888888,2010-05-18
254,4923.0,3801.0,2216.0,-120.32888888,37.11388888,2010-05-24
255,3758.0,2882.0,2254.0,-120.73388888,37.31694444,2010-05-24
