,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,PRECTOT,PS,QV2M,RH2M,SRF_ALB,T10M,T10M_MAX,T10M_MIN,T10M_RANGE,TQV,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE
14418,2013,8,5,3.27,17.14,0.5,22.37,2.26,19.85,24.55,98.59,8.3,52.5,16.26,3.77,4.07,7.51,1.88,4.57,335.27,0.49,0.14,0.0
14419,2013,6,15,4.28,7.77,1.23,22.34,3.54,19.18,27.29,92.34,15.2,44.44,12.08,4.95,5.45,6.1,2.52,6.68,304.77,0.67,0.18,0.0
14420,2013,10,21,316.96,19.31,9.23,4.0,8.85,3.16,16.05,4.09,0.09,1.34,50.25,24.9,6.53,1.72,98.52,0.23,18.96,3.38,0.14,0.0
14421,2013,8,22,0.87,58.25,18.76,89.02,0.01,0.88,19.76,1.2,1.75,0.4,0.28,2.14,13.76,342.45,8.85,21.42,27.27,13.51,0.1,3.82
14422,2013,6,7,0.7,16.73,0.83,24.17,1.75,25.12,34.79,89.93,18.28,47.38,16.51,0.7,2.01,8.24,0.18,2.84,313.84,0.0,0.09,0.0
14423,2013,6,9,4.17,23.94,25.91,89.68,1.23,5.4,23.66,4.42,5.3,2.45,2.91,7.76,17.18,298.79,4.03,7.38,33.1,15.92,0.18,0.0
14424,2013,10,26,1.04,28.25,17.55,92.12,0.36,1.4,21.58,1.84,1.69,0.97,1.02,2.66,9.18,315.64,4.33,11.21,27.01,17.82,0.16,0.0
14425,2013,6,19,4.09,33.88,23.12,89.99,0.72,4.8,20.29,3.67,5.39,1.37,2.48,6.76,18.13,323.27,4.33,6.78,29.89,11.76,0.19,0.0
14426,2013,7,5,2.77,33.81,29.41,89.56,1.65,4.42,26.51,4.27,3.77,2.59,2.97,6.36,16.81,361.75,7.75,24.62,35.44,18.63,0.15,0.0
14427,2013,8,19,33.25,89.94,380.22,3.6,1.62,10.07,8.36,0.8,2.8,3.04,22.9,30.72,28.59,1.97,5.09,32.98,27.68,3.47,0.16,0.72
14428,2013,9,14,0.59,17.46,1.15,21.99,1.8,21.19,29.54,85.57,16.45,42.06,13.08,1.23,1.25,6.84,0.83,2.4,320.34,0.63,0.12,0.0
14429,2013,4,21,291.55,19.7,10.7,3.86,11.91,3.02,13.97,4.55,0.7,1.74,44.62,25.88,5.92,2.55,96.92,0.35,20.44,3.37,0.22,0.0
14430,2013,10,1,15.86,0.69,26.19,8.18,2.59,14.05,96.71,3.28,1.0,1.71,3.35,308.58,57.12,20.16,21.87,4.34,2.4,10.34,0.17,0.0
14431,2013,8,19,36.56,89.0,380.22,4.78,1.4,9.48,9.16,0.73,4.05,3.29,22.62,32.05,29.02,2.34,6.09,32.11,27.8,4.7,0.16,0.83
14432,2013,3,26,8.84,0.48,21.85,5.07,3.01,9.84,92.49,3.48,0.78,1.61,3.79,288.4,49.19,15.37,15.6,4.57,2.4,13.0,0.19,0.0
14433,2013,7,10,302.8,22.06,13.62,3.05,16.84,1.1,12.94,3.33,0.28,0.34,40.31,29.77,6.29,1.72,94.15,0.02,20.32,1.12,0.09,0.0
14434,2013,1,19,34.94,93.32,240.62,6.15,3.74,13.78,2.32,1.91,4.24,5.54,4.27,2.11,6.87,3.31,8.6,18.05,10.13,4.86,0.16,0.0
14435,2013,12,16,14.01,8.09,310.29,2.41,93.17,32.56,3.23,3.4,5.44,3.73,10.98,4.38,2.9,12.02,9.83,6.63,20.82,1.96,0.0,0.17
