,ozone,longitude,latitude,date
18047,312.0,-122.212299,40.556552,2015-04-17
18048,357.0,-122.030133,38.378646,2015-04-03
18049,376.0,-123.000276,38.502815,2015-04-01
18050,311.0,-122.512223,38.333284,2015-04-17
18051,332.0,-122.372648,40.289507,2015-04-20
18052,357.0,-122.17504,40.061484,2015-04-30
18053,317.0,-119.537133,36.61925,2015-04-01
18054,325.0,-116.964,33.779433,2015-04-05
18055,349.0,-120.304567,36.733883,2015-04-11
18056,334.0,-117.0934,34.045733,2015-04-13
18057,334.0,-117.404993,34.004275,2015-04-15
18058,334.0,-117.4008,34.006667,2015-04-15
18059,328.0,-121.608433,39.88445,2015-04-19
18060,347.0,-121.324222,36.433603,2015-04-20
18061,339.0,-120.6206,37.388267,2015-04-22
18062,341.0,-119.853933,36.545383,2015-04-22
18063,355.0,-120.677033,37.37475,2015-04-24
18064,333.0,-117.261474,33.9611,2015-05-01
18065,345.0,-120.778633,37.42815,2015-05-01
18066,345.0,-120.613033,37.38875,2015-05-01
18067,335.0,-119.394283,36.7171,2015-05-04
18068,335.0,-119.399117,36.719617,2015-05-04
18069,335.0,-119.555733,36.837133,2015-05-04
18070,335.0,-119.26705,36.72955,2015-05-04
18071,341.0,-119.26805,36.731283,2015-05-05
18072,339.0,-120.5958,37.360467,2015-05-05
18073,370.0,-124.15345,41.760517,2015-05-10
18074,370.0,-124.147033,41.789683,2015-05-10
18075,349.0,-119.4129,36.620267,2015-05-11
18076,349.0,-119.304317,36.6789,2015-05-11
18077,349.0,-119.266117,36.729433,2015-05-11
18078,403.0,-121.46395,39.516833,2015-05-14
18079,403.0,-121.464233,39.517367,2015-05-14
18080,362.0,-120.6139,37.3641,2015-05-17
18081,364.0,-117.180417,33.90405,2015-05-18
18082,366.0,-120.622533,37.389367,2015-05-19
18083,360.0,-116.892494,33.918001,2015-05-20
18084,367.0,-120.621783,37.38835,2015-05-20
18085,371.0,-119.543317,36.607867,2015-05-21
18086,368.0,-116.271509,33.749322,2015-05-22
18087,347.0,-121.59945,36.865833,2015-05-23
18088,347.0,-121.6904,36.601,2015-05-24
18089,340.0,-117.261467,33.9611,2015-05-26
18090,338.0,-122.003167,38.013717,2015-05-27
18091,320.0,-120.462383,37.66365,2015-05-29
18092,310.0,-120.216283,37.228267,2015-05-30
18093,314.0,-121.5655,36.8341,2015-05-30
18094,335.0,-122.456083,40.615517,2015-06-01
18095,305.0,-116.977333,33.968717,2015-06-02
18096,314.0,-120.612133,37.346617,2015-06-02
18097,351.0,-121.828333,37.885,2015-06-05
18098,347.0,-121.056267,39.240567,2015-06-05
