FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE
2010,Miscellaneous,36.77,-120.38305555,CA,2455391.5,1.0,2010-07-14
2010,Arson,36.59,-119.46694444,CA,2455392.5,1.0,2010-07-15
2010,Equipment Use,36.13805555,-120.16388888,CA,2455392.5,160.0,2010-07-15
2010,Miscellaneous,36.72111111,-119.72694444,CA,2455394.5,1.0,2010-07-17
2010,Miscellaneous,36.74805555,-120.37111111,CA,2455403.5,1.0,2010-07-26
2010,Miscellaneous,36.67611111,-119.73694444,CA,2455403.5,1.0,2010-07-26
2010,Arson,36.51805555,-119.78611111,CA,2455403.5,1.0,2010-07-26
2010,Debris Burning,36.67305555,-119.77805555,CA,2455404.5,1.0,2010-07-27
2010,Miscellaneous,36.53,-119.65611111,CA,2455405.5,0.1,2010-07-28
2010,Miscellaneous,36.71694444,-119.76388888,CA,2455405.5,1.0,2010-07-28
2010,Equipment Use,36.64111111,-119.78194444,CA,2455408.5,1.0,2010-07-31
2010,Miscellaneous,36.25388888,-120.24694444,CA,2455408.5,1.0,2010-07-31
2010,Miscellaneous,36.78611111,-119.525,CA,2455410.5,1.0,2010-08-02
2010,Miscellaneous,36.67611111,-120.38805555,CA,2455437.5,100.0,2010-08-29
2010,Miscellaneous,36.78805555,-119.58305555,CA,2455439.5,1.0,2010-08-31
2010,Miscellaneous,36.76694444,-120.38388888,CA,2455439.5,1.0,2010-08-31
2010,Smoking,36.89694444,-119.79111111,CA,2455439.5,0.1,2010-08-31
2010,Debris Burning,36.78888888,-119.58305555,CA,2455439.5,1.0,2010-08-31
2010,Arson,36.70694444,-119.75694444,CA,2455439.5,1.0,2010-08-31
2010,Miscellaneous,36.625,-119.35194444,CA,2455439.5,1.0,2010-08-31
2010,Miscellaneous,36.55694444,-119.61111111,CA,2455442.5,1.0,2010-09-03
2010,Miscellaneous,36.67611111,-119.73694444,CA,2455442.5,1.0,2010-09-03
2010,Railroad,36.675,-119.73694444,CA,2455442.5,1.0,2010-09-03
2010,Equipment Use,36.78611111,-119.53805555,CA,2455443.5,1.0,2010-09-04
2010,Miscellaneous,36.69888888,-119.85305555,CA,2455443.5,0.1,2010-09-04
2010,Miscellaneous,36.58194444,-119.41305555,CA,2455444.5,0.1,2010-09-05
2010,Miscellaneous,36.73611111,-119.535,CA,2455444.5,9.0,2010-09-05
2010,Debris Burning,36.55111111,-119.55694444,CA,2455461.5,4.0,2010-09-22
2010,Debris Burning,36.72,-120.38694444,CA,2455461.5,1.0,2010-09-22
2010,Miscellaneous,36.59305555,-119.76388888,CA,2455463.5,1.0,2010-09-24
2010,Debris Burning,36.64888888,-119.755,CA,2455464.5,1.0,2010-09-25
2010,Debris Burning,36.59111111,-119.80388888,CA,2455464.5,6.0,2010-09-25
2010,Miscellaneous,36.73,-119.50194444,CA,2455464.5,1.0,2010-09-25
2010,Debris Burning,36.67805555,-119.84388888,CA,2455465.5,1.0,2010-09-26
