,County,Population,PopulationDensity,HousingUnits,HousingOccupied,HomeValue,Income,AreaCode,WaterArea
172,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
173,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
174,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
175,Fresno County,7313.0,296.0,2416.0,2237.0,222400.0,45230.0,559,0.0
176,Fresno County,7313.0,296.0,2416.0,2237.0,222400.0,45230.0,559,0.0
177,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
178,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
179,Fresno County,3468.0,84.0,1058.0,1001.0,171500.0,41325.0,559,0.0
180,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
181,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
182,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
183,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
184,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
185,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
186,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
187,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
188,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
189,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
190,Fresno County,19504.0,25.0,4836.0,4317.0,148300.0,47088.0,559,0.3
191,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
192,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
193,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
194,Madera County,11908.0,61.0,4186.0,3974.0,261100.0,74538.0,559,1.13
195,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
196,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
197,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
198,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
199,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
200,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
201,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
202,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
203,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
204,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
205,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
206,Fresno County,11880.0,105.0,2797.0,2627.0,112100.0,25019.0,559,1.42
207,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
208,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
209,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
210,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
211,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
212,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
213,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
214,Fresno County,,,,,,,559,
215,Fresno County,24979.0,382.0,6974.0,6482.0,150800.0,35974.0,559,0.06
216,Fresno County,41087.0,251.0,11392.0,10376.0,128700.0,29275.0,559,0.0
217,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
218,Fresno County,30237.0,384.0,8979.0,8385.0,175200.0,43790.0,559,0.21
219,Fresno County,34999.0,164.0,11444.0,10302.0,182600.0,47781.0,559,4.77
220,Fresno County,29776.0,302.0,8832.0,8347.0,170800.0,48817.0,559,0.57
221,Merced County,32967.0,220.0,9330.0,8408.0,101400.0,33046.0,209,1.35
222,Stanislaus County,41201.0,549.0,14525.0,13231.0,159300.0,40564.0,209,0.01
223,Merced County,2030.0,44.0,700.0,600.0,291900.0,37391.0,209,0.5
224,Madera County,23833.0,88.0,5809.0,5148.0,155600.0,40327.0,559,0.92
225,Merced County,15457.0,276.0,4098.0,3861.0,171200.0,48462.0,209,0.23
226,Stanislaus County,11712.0,35.0,3935.0,3487.0,132400.0,42909.0,209,1.68
227,Fresno County,9547.0,224.0,3119.0,2857.0,278100.0,65045.0,559,0.02
228,Stanislaus County,41201.0,549.0,14525.0,13231.0,159300.0,40564.0,209,0.01
229,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
230,Fresno County,9581.0,27.0,2782.0,2491.0,120300.0,32865.0,209,2.11
231,Merced County,13018.0,713.0,3528.0,3295.0,135600.0,46010.0,209,0.01
232,Madera County,49068.0,517.0,12038.0,11231.0,132300.0,37280.0,559,0.61
233,Madera County,11908.0,61.0,4186.0,3974.0,261100.0,74538.0,559,1.13
234,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
235,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
236,Fresno County,9547.0,224.0,3119.0,2857.0,278100.0,65045.0,559,0.02
237,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
238,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
239,Merced County,9591.0,55.0,3296.0,2897.0,107500.0,34579.0,209,0.32
240,Merced County,15457.0,276.0,4098.0,3861.0,171200.0,48462.0,209,0.23
241,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
242,Merced County,33931.0,854.0,12642.0,11546.0,165800.0,47779.0,209,0.74
243,Merced County,38776.0,150.0,12546.0,11172.0,144900.0,46933.0,209,8.53
244,Merced County,33931.0,854.0,12642.0,11546.0,165800.0,47779.0,209,0.74
245,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
246,Merced County,13018.0,713.0,3528.0,3295.0,135600.0,46010.0,209,0.01
247,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
248,Madera County,37743.0,140.0,12241.0,11283.0,165200.0,48974.0,559,0.06
249,Merced County,38776.0,150.0,12546.0,11172.0,144900.0,46933.0,209,8.53
250,Merced County,13074.0,337.0,3912.0,3500.0,124000.0,40842.0,209,0.08
251,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
252,Merced County,37073.0,595.0,12387.0,11250.0,155500.0,48103.0,209,0.02
253,Merced County,32967.0,220.0,9330.0,8408.0,101400.0,33046.0,209,1.35
254,Merced County,13018.0,713.0,3528.0,3295.0,135600.0,46010.0,209,0.01
255,Merced County,817.0,15.0,277.0,242.0,260700.0,34783.0,209,0.15
